GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
abdi-formulario-comum,abdi.formulario.rest,LocalizaServicoRest,50,0,0,0,11,0,2,0,2,0
abdi-formulario-comum,abdi.formulario.log,AplicacaoLogger,30,0,0,0,10,0,5,0,5,0
abdi-formulario-comum,abdi.formulario.excecao,AplicacaoException,4,0,0,0,2,0,1,0,1,0
abdi-formulario-comum,abdi.formulario.excecao,LocalizarObjetoException,8,0,0,0,4,0,2,0,2,0
abdi-formulario-comum,abdi.formulario.excecao,PersistenciaException,8,0,0,0,4,0,2,0,2,0
abdi-formulario-comum,abdi.formulario.cdi,LogInterceptor,16,0,0,0,6,0,2,0,2,0
abdi-formulario-comum,abdi.formulario.delegate,AplicacaoDelegate,3,0,0,0,1,0,1,0,1,0
abdi-formulario-comum,abdi.formulario.locator,FabricaLocator,7,0,0,0,3,0,2,0,2,0
abdi-formulario-comum,abdi.formulario.locator,AplicacaoServiceLocator,32,0,0,0,7,0,3,0,3,0
abdi-formulario-comum,abdi.formulario.locator,Jndi,46,0,0,0,7,0,5,0,5,0
abdi-formulario-comum,abdi.formulario.locator,LocatorResourceBundle,53,0,2,0,16,0,6,0,5,0
abdi-formulario-comum,abdi.formulario.locator,EscolaServiceLocator,17,0,0,0,7,0,3,0,3,0
abdi-formulario-comum,abdi.formulario.mensagens,MensagemResourceBundle,48,0,2,0,15,0,6,0,5,0
abdi-formulario-comum,abdi.formulario.rmi,LocalizaServicoEjb,28,0,0,0,7,0,2,0,2,0
abdi-formulario-comum,abdi.formulario.entidades,AplicacaoEntidade,3,0,0,0,1,0,1,0,1,0
abdi-formulario-comum,abdi.formulario.fachada,AplicacaoMBean,3,0,0,0,1,0,1,0,1,0
abdi-formulario-comum,abdi.formulario.dto,CriteriosConsultaDTO,4,11,0,0,2,3,1,2,1,2
abdi-formulario-comum,abdi.formulario.dto,RequisicaoRestDTO,10,0,0,0,4,0,3,0,3,0
abdi-formulario-comum,abdi.formulario.dao,AplicacaoDaoImpl,29,0,0,0,11,0,6,0,6,0
abdi-formulario-comum,abdi.formulario.dao,AplicacaoDataSource,38,0,2,0,10,0,4,0,3,0
